Artist,Tour,Date,City,Venue,Song,Position
Bruce Springsteen,Springsteen On Broadway,11/21/2017,New York,Walter Kerr Theatre,Tenth Avenue Freeze-Out,8
Bruce Springsteen,Springsteen On Broadway,11/21/2017,New York,Walter Kerr Theatre,Tougher Than the Rest,9
Bruce Springsteen,Springsteen On Broadway,11/21/2017,New York,Walter Kerr Theatre,Brilliant Disguise,10
Bruce Springsteen,Springsteen On Broadway,11/21/2017,New York,Walter Kerr Theatre,Long Walk Home,11
Bruce Springsteen,Springsteen On Broadway,11/21/2017,New York,Walter Kerr Theatre,The Rising,12
Bruce Springsteen,Springsteen On Broadway,11/21/2017,New York,Walter Kerr Theatre,Dancing in the Dark,13
Bruce Springsteen,Springsteen On Broadway,11/21/2017,New York,Walter Kerr Theatre,Land of Hope and Dreams,14
Bruce Springsteen,Springsteen On Broadway,11/21/2017,New York,Walter Kerr Theatre,Born to Run,15
Bruce Springsteen,Springsteen On Broadway,11/22/2017,New York,Walter Kerr Theatre,Growin' Up,1
Bruce Springsteen,Springsteen On Broadway,11/22/2017,New York,Walter Kerr Theatre,My Hometown,2
Bruce Springsteen,Springsteen On Broadway,11/22/2017,New York,Walter Kerr Theatre,My Father's House,3
Bruce Springsteen,Springsteen On Broadway,11/22/2017,New York,Walter Kerr Theatre,The Wish,4
Bruce Springsteen,Springsteen On Broadway,11/22/2017,New York,Walter Kerr Theatre,Thunder Road,5
Bruce Springsteen,Springsteen On Broadway,11/22/2017,New York,Walter Kerr Theatre,The Promised Land,6
Bruce Springsteen,Springsteen On Broadway,11/22/2017,New York,Walter Kerr Theatre,Born in the U.S.A.,7
Bruce Springsteen,Springsteen On Broadway,11/22/2017,New York,Walter Kerr Theatre,Tenth Avenue Freeze-Out,8
Bruce Springsteen,Springsteen On Broadway,11/22/2017,New York,Walter Kerr Theatre,Tougher Than the Rest,9
Bruce Springsteen,Springsteen On Broadway,11/22/2017,New York,Walter Kerr Theatre,Brilliant Disguise,10
Bruce Springsteen,Springsteen On Broadway,11/22/2017,New York,Walter Kerr Theatre,Long Walk Home,11
Bruce Springsteen,Springsteen On Broadway,11/22/2017,New York,Walter Kerr Theatre,The Rising,12
Bruce Springsteen,Springsteen On Broadway,11/22/2017,New York,Walter Kerr Theatre,Dancing in the Dark,13
Bruce Springsteen,Springsteen On Broadway,11/22/2017,New York,Walter Kerr Theatre,Land of Hope and Dreams,14
Bruce Springsteen,Springsteen On Broadway,11/22/2017,New York,Walter Kerr Theatre,Born to Run,15
Bruce Springsteen,Springsteen On Broadway,11/24/2017,New York,Walter Kerr Theatre,Growin' Up,1
Bruce Springsteen,Springsteen On Broadway,11/24/2017,New York,Walter Kerr Theatre,My Hometown,2
Bruce Springsteen,Springsteen On Broadway,11/24/2017,New York,Walter Kerr Theatre,My Father's House,3
Bruce Springsteen,Springsteen On Broadway,11/24/2017,New York,Walter Kerr Theatre,The Wish,4
Bruce Springsteen,Springsteen On Broadway,11/24/2017,New York,Walter Kerr Theatre,Thunder Road,5
Bruce Springsteen,Springsteen On Broadway,11/24/2017,New York,Walter Kerr Theatre,The Promised Land,6
Bruce Springsteen,Springsteen On Broadway,11/24/2017,New York,Walter Kerr Theatre,Born in the U.S.A.,7
Bruce Springsteen,Springsteen On Broadway,11/24/2017,New York,Walter Kerr Theatre,Tenth Avenue Freeze-Out,8
Bruce Springsteen,Springsteen On Broadway,11/24/2017,New York,Walter Kerr Theatre,Tougher Than the Rest,9
Bruce Springsteen,Springsteen On Broadway,11/24/2017,New York,Walter Kerr Theatre,Brilliant Disguise,10
Bruce Springsteen,Springsteen On Broadway,11/24/2017,New York,Walter Kerr Theatre,Long Walk Home,11
Bruce Springsteen,Springsteen On Broadway,11/24/2017,New York,Walter Kerr Theatre,The Rising,12
Bruce Springsteen,Springsteen On Broadway,11/24/2017,New York,Walter Kerr Theatre,Dancing in the Dark,13
Bruce Springsteen,Springsteen On Broadway,11/24/2017,New York,Walter Kerr Theatre,Land of Hope and Dreams,14
Bruce Springsteen,Springsteen On Broadway,11/24/2017,New York,Walter Kerr Theatre,Born to Run,15
Bruce Springsteen,Springsteen On Broadway,11/25/2017,New York,Walter Kerr Theatre,Growin' Up,1
Bruce Springsteen,Springsteen On Broadway,11/25/2017,New York,Walter Kerr Theatre,My Hometown,2
Bruce Springsteen,Springsteen On Broadway,11/25/2017,New York,Walter Kerr Theatre,My Father's House,3
Bruce Springsteen,Springsteen On Broadway,11/25/2017,New York,Walter Kerr Theatre,The Wish,4
Bruce Springsteen,Springsteen On Broadway,11/25/2017,New York,Walter Kerr Theatre,Thunder Road,5
Bruce Springsteen,Springsteen On Broadway,11/25/2017,New York,Walter Kerr Theatre,The Promised Land,6
Bruce Springsteen,Springsteen On Broadway,11/25/2017,New York,Walter Kerr Theatre,Born in the U.S.A.,7
Bruce Springsteen,Springsteen On Broadway,11/25/2017,New York,Walter Kerr Theatre,Tenth Avenue Freeze-Out,8
Bruce Springsteen,Springsteen On Broadway,11/25/2017,New York,Walter Kerr Theatre,Tougher Than the Rest,9
Bruce Springsteen,Springsteen On Broadway,11/25/2017,New York,Walter Kerr Theatre,Brilliant Disguise,10
Bruce Springsteen,Springsteen On Broadway,11/25/2017,New York,Walter Kerr Theatre,Long Walk Home,11
Bruce Springsteen,Springsteen On Broadway,11/25/2017,New York,Walter Kerr Theatre,The Rising,12
Bruce Springsteen,Springsteen On Broadway,11/25/2017,New York,Walter Kerr Theatre,Dancing in the Dark,13
Bruce Springsteen,Springsteen On Broadway,11/25/2017,New York,Walter Kerr Theatre,Land of Hope and Dreams,14
Bruce Springsteen,Springsteen On Broadway,11/25/2017,New York,Walter Kerr Theatre,Born to Run,15
Bruce Springsteen,Springsteen On Broadway,11/26/2017,New York,Walter Kerr Theatre,Growin' Up,1
Bruce Springsteen,Springsteen On Broadway,11/26/2017,New York,Walter Kerr Theatre,My Hometown,2
Bruce Springsteen,Springsteen On Broadway,11/26/2017,New York,Walter Kerr Theatre,My Father's House,3
Bruce Springsteen,Springsteen On Broadway,11/26/2017,New York,Walter Kerr Theatre,The Wish,4
Bruce Springsteen,Springsteen On Broadway,11/26/2017,New York,Walter Kerr Theatre,Thunder Road,5
Bruce Springsteen,Springsteen On Broadway,11/26/2017,New York,Walter Kerr Theatre,The Promised Land,6
Bruce Springsteen,Springsteen On Broadway,11/26/2017,New York,Walter Kerr Theatre,Born in the U.S.A.,7
Bruce Springsteen,Springsteen On Broadway,11/26/2017,New York,Walter Kerr Theatre,Tenth Avenue Freeze-Out,8
Bruce Springsteen,Springsteen On Broadway,11/26/2017,New York,Walter Kerr Theatre,Tougher Than the Rest,9
Bruce Springsteen,Springsteen On Broadway,11/26/2017,New York,Walter Kerr Theatre,Brilliant Disguise,10
Bruce Springsteen,Springsteen On Broadway,11/26/2017,New York,Walter Kerr Theatre,Long Walk Home,11
Bruce Springsteen,Springsteen On Broadway,11/26/2017,New York,Walter Kerr Theatre,The Rising,12
Bruce Springsteen,Springsteen On Broadway,11/26/2017,New York,Walter Kerr Theatre,Dancing in the Dark,13
Bruce Springsteen,Springsteen On Broadway,11/26/2017,New York,Walter Kerr Theatre,Land of Hope and Dreams,14
Bruce Springsteen,Springsteen On Broadway,11/26/2017,New York,Walter Kerr Theatre,Born to Run,15
Bruce Springsteen,Springsteen On Broadway,12/5/2017,New York,Walter Kerr Theatre,Growin' Up,1
Bruce Springsteen,Springsteen On Broadway,12/5/2017,New York,Walter Kerr Theatre,My Hometown,2
Bruce Springsteen,Springsteen On Broadway,12/5/2017,New York,Walter Kerr Theatre,My Father's House,3
Bruce Springsteen,Springsteen On Broadway,12/5/2017,New York,Walter Kerr Theatre,The Wish,4
Bruce Springsteen,Springsteen On Broadway,12/5/2017,New York,Walter Kerr Theatre,Thunder Road,5
Bruce Springsteen,Springsteen On Broadway,12/5/2017,New York,Walter Kerr Theatre,The Promised Land,6
Bruce Springsteen,Springsteen On Broadway,12/5/2017,New York,Walter Kerr Theatre,Born in the U.S.A.,7
Bruce Springsteen,Springsteen On Broadway,12/5/2017,New York,Walter Kerr Theatre,Tenth Avenue Freeze-Out,8
Bruce Springsteen,Springsteen On Broadway,12/5/2017,New York,Walter Kerr Theatre,Tougher Than the Rest,9
Bruce Springsteen,Springsteen On Broadway,12/5/2017,New York,Walter Kerr Theatre,Brilliant Disguise,10
Bruce Springsteen,Springsteen On Broadway,12/5/2017,New York,Walter Kerr Theatre,Long Walk Home,11
Bruce Springsteen,Springsteen On Broadway,12/5/2017,New York,Walter Kerr Theatre,The Rising,12
Bruce Springsteen,Springsteen On Broadway,12/5/2017,New York,Walter Kerr Theatre,Dancing in the Dark,13
Bruce Springsteen,Springsteen On Broadway,12/5/2017,New York,Walter Kerr Theatre,Land of Hope and Dreams,14
Bruce Springsteen,Springsteen On Broadway,12/5/2017,New York,Walter Kerr Theatre,Born to Run,15
Bruce Springsteen,Springsteen On Broadway,12/6/2017,New York,Walter Kerr Theatre,Growin' Up,1
Bruce Springsteen,Springsteen On Broadway,12/6/2017,New York,Walter Kerr Theatre,My Hometown,2
Bruce Springsteen,Springsteen On Broadway,12/6/2017,New York,Walter Kerr Theatre,My Father's House,3
Bruce Springsteen,Springsteen On Broadway,12/6/2017,New York,Walter Kerr Theatre,The Wish,4
Bruce Springsteen,Springsteen On Broadway,12/6/2017,New York,Walter Kerr Theatre,Thunder Road,5
Bruce Springsteen,Springsteen On Broadway,12/6/2017,New York,Walter Kerr Theatre,The Promised Land,6
Bruce Springsteen,Springsteen On Broadway,12/6/2017,New York,Walter Kerr Theatre,Born in the U.S.A.,7
Bruce Springsteen,Springsteen On Broadway,12/6/2017,New York,Walter Kerr Theatre,Tenth Avenue Freeze-Out,8
Bruce Springsteen,Springsteen On Broadway,12/6/2017,New York,Walter Kerr Theatre,Tougher Than the Rest,9
Bruce Springsteen,Springsteen On Broadway,12/6/2017,New York,Walter Kerr Theatre,Brilliant Disguise,10
Bruce Springsteen,Springsteen On Broadway,12/6/2017,New York,Walter Kerr Theatre,Long Walk Home,11
Bruce Springsteen,Springsteen On Broadway,12/6/2017,New York,Walter Kerr Theatre,The Rising,12
Bruce Springsteen,Springsteen On Broadway,12/6/2017,New York,Walter Kerr Theatre,Dancing in the Dark,13
Bruce Springsteen,Springsteen On Broadway,12/6/2017,New York,Walter Kerr Theatre,Land of Hope and Dreams,14
Bruce Springsteen,Springsteen On Broadway,12/6/2017,New York,Walter Kerr Theatre,Born to Run,15
Bruce Springsteen,Springsteen On Broadway,12/7/2017,New York,Walter Kerr Theatre,Growin' Up,1
Bruce Springsteen,Springsteen On Broadway,12/7/2017,New York,Walter Kerr Theatre,My Hometown,2
Bruce Springsteen,Springsteen On Broadway,12/7/2017,New York,Walter Kerr Theatre,My Father's House,3
Bruce Springsteen,Springsteen On Broadway,12/7/2017,New York,Walter Kerr Theatre,The Wish,4
Bruce Springsteen,Springsteen On Broadway,12/7/2017,New York,Walter Kerr Theatre,Thunder Road,5
Bruce Springsteen,Springsteen On Broadway,12/7/2017,New York,Walter Kerr Theatre,The Promised Land,6
Bruce Springsteen,Springsteen On Broadway,12/7/2017,New York,Walter Kerr Theatre,Born in the U.S.A.,7
Bruce Springsteen,Springsteen On Broadway,12/7/2017,New York,Walter Kerr Theatre,Tenth Avenue Freeze-Out,8
Bruce Springsteen,Springsteen On Broadway,12/7/2017,New York,Walter Kerr Theatre,Tougher Than the Rest,9
Bruce Springsteen,Springsteen On Broadway,12/7/2017,New York,Walter Kerr Theatre,Brilliant Disguise,10
Bruce Springsteen,Springsteen On Broadway,12/7/2017,New York,Walter Kerr Theatre,Long Walk Home,11
Bruce Springsteen,Springsteen On Broadway,12/7/2017,New York,Walter Kerr Theatre,The Rising,12
Bruce Springsteen,Springsteen On Broadway,12/7/2017,New York,Walter Kerr Theatre,Dancing in the Dark,13
Bruce Springsteen,Springsteen On Broadway,12/7/2017,New York,Walter Kerr Theatre,Land of Hope and Dreams,14
Bruce Springsteen,Springsteen On Broadway,12/7/2017,New York,Walter Kerr Theatre,Born to Run,15
Bruce Springsteen,Springsteen On Broadway,12/8/2017,New York,Walter Kerr Theatre,Growin' Up,1
Bruce Springsteen,Springsteen On Broadway,12/8/2017,New York,Walter Kerr Theatre,My Hometown,2
Bruce Springsteen,Springsteen On Broadway,12/8/2017,New York,Walter Kerr Theatre,My Father's House,3
Bruce Springsteen,Springsteen On Broadway,12/8/2017,New York,Walter Kerr Theatre,The Wish,4
Bruce Springsteen,Springsteen On Broadway,12/8/2017,New York,Walter Kerr Theatre,Thunder Road,5
Bruce Springsteen,Springsteen On Broadway,12/8/2017,New York,Walter Kerr Theatre,The Promised Land,6
Bruce Springsteen,Springsteen On Broadway,12/8/2017,New York,Walter Kerr Theatre,Born in the U.S.A.,7
Bruce Springsteen,Springsteen On Broadway,12/8/2017,New York,Walter Kerr Theatre,Tenth Avenue Freeze-Out,8
Bruce Springsteen,Springsteen On Broadway,12/8/2017,New York,Walter Kerr Theatre,Tougher Than the Rest,9
Bruce Springsteen,Springsteen On Broadway,12/8/2017,New York,Walter Kerr Theatre,Brilliant Disguise,10
Bruce Springsteen,Springsteen On Broadway,12/8/2017,New York,Walter Kerr Theatre,Long Walk Home,11
Bruce Springsteen,Springsteen On Broadway,12/8/2017,New York,Walter Kerr Theatre,The Rising,12
Bruce Springsteen,Springsteen On Broadway,12/8/2017,New York,Walter Kerr Theatre,Dancing in the Dark,13
Bruce Springsteen,Springsteen On Broadway,12/8/2017,New York,Walter Kerr Theatre,Land of Hope and Dreams,14
Bruce Springsteen,Springsteen On Broadway,12/8/2017,New York,Walter Kerr Theatre,Born to Run,15
Bruce Springsteen,Springsteen On Broadway,12/9/2017,New York,Walter Kerr Theatre,Growin' Up,1
Bruce Springsteen,Springsteen On Broadway,12/9/2017,New York,Walter Kerr Theatre,My Hometown,2
Bruce Springsteen,Springsteen On Broadway,12/9/2017,New York,Walter Kerr Theatre,My Father's House,3
Bruce Springsteen,Springsteen On Broadway,12/9/2017,New York,Walter Kerr Theatre,The Wish,4
Bruce Springsteen,Springsteen On Broadway,12/9/2017,New York,Walter Kerr Theatre,Thunder Road,5
Bruce Springsteen,Springsteen On Broadway,12/9/2017,New York,Walter Kerr Theatre,The Promised Land,6
Bruce Springsteen,Springsteen On Broadway,12/9/2017,New York,Walter Kerr Theatre,Born in the U.S.A.,7
Bruce Springsteen,Springsteen On Broadway,12/9/2017,New York,Walter Kerr Theatre,Tenth Avenue Freeze-Out,8
Bruce Springsteen,Springsteen On Broadway,12/9/2017,New York,Walter Kerr Theatre,Tougher Than the Rest,9
Bruce Springsteen,Springsteen On Broadway,12/9/2017,New York,Walter Kerr Theatre,Brilliant Disguise,10
Bruce Springsteen,Springsteen On Broadway,12/9/2017,New York,Walter Kerr Theatre,Long Walk Home,11
Bruce Springsteen,Springsteen On Broadway,12/9/2017,New York,Walter Kerr Theatre,The Rising,12
Bruce Springsteen,Springsteen On Broadway,12/9/2017,New York,Walter Kerr Theatre,Dancing in the Dark,13
Bruce Springsteen,Springsteen On Broadway,12/9/2017,New York,Walter Kerr Theatre,Land of Hope and Dreams,14
Bruce Springsteen,Springsteen On Broadway,12/9/2017,New York,Walter Kerr Theatre,Born to Run,15
Bruce Springsteen,Springsteen On Broadway,12/12/2017,New York,Walter Kerr Theatre,Growin' Up,1
Bruce Springsteen,Springsteen On Broadway,12/12/2017,New York,Walter Kerr Theatre,My Hometown,2
Bruce Springsteen,Springsteen On Broadway,12/12/2017,New York,Walter Kerr Theatre,My Father's House,3
Bruce Springsteen,Springsteen On Broadway,12/12/2017,New York,Walter Kerr Theatre,The Wish,4
Bruce Springsteen,Springsteen On Broadway,12/12/2017,New York,Walter Kerr Theatre,Thunder Road,5
Bruce Springsteen,Springsteen On Broadway,12/12/2017,New York,Walter Kerr Theatre,The Promised Land,6
Bruce Springsteen,Springsteen On Broadway,12/12/2017,New York,Walter Kerr Theatre,Born in the U.S.A.,7
Bruce Springsteen,Springsteen On Broadway,12/12/2017,New York,Walter Kerr Theatre,Tenth Avenue Freeze-Out,8
Bruce Springsteen,Springsteen On Broadway,12/12/2017,New York,Walter Kerr Theatre,Tougher Than the Rest,9
Bruce Springsteen,Springsteen On Broadway,12/12/2017,New York,Walter Kerr Theatre,Brilliant Disguise,10
Bruce Springsteen,Springsteen On Broadway,12/12/2017,New York,Walter Kerr Theatre,Long Walk Home,11
Bruce Springsteen,Springsteen On Broadway,12/12/2017,New York,Walter Kerr Theatre,The Rising,12
Bruce Springsteen,Springsteen On Broadway,12/12/2017,New York,Walter Kerr Theatre,Dancing in the Dark,13
Bruce Springsteen,Springsteen On Broadway,12/12/2017,New York,Walter Kerr Theatre,Land of Hope and Dreams,14
Bruce Springsteen,Springsteen On Broadway,12/12/2017,New York,Walter Kerr Theatre,Born to Run,15
Bruce Springsteen,Springsteen On Broadway,12/13/2017,New York,Walter Kerr Theatre,Growin' Up,1
Bruce Springsteen,Springsteen On Broadway,12/13/2017,New York,Walter Kerr Theatre,My Hometown,2
Bruce Springsteen,Springsteen On Broadway,12/13/2017,New York,Walter Kerr Theatre,My Father's House,3
Bruce Springsteen,Springsteen On Broadway,12/13/2017,New York,Walter Kerr Theatre,The Wish,4
Bruce Springsteen,Springsteen On Broadway,12/13/2017,New York,Walter Kerr Theatre,Thunder Road,5
Bruce Springsteen,Springsteen On Broadway,12/13/2017,New York,Walter Kerr Theatre,The Promised Land,6
Bruce Springsteen,Springsteen On Broadway,12/13/2017,New York,Walter Kerr Theatre,Born in the U.S.A.,7
Bruce Springsteen,Springsteen On Broadway,12/13/2017,New York,Walter Kerr Theatre,Tenth Avenue Freeze-Out,8
Bruce Springsteen,Springsteen On Broadway,12/13/2017,New York,Walter Kerr Theatre,Tougher Than the Rest,9
Bruce Springsteen,Springsteen On Broadway,12/13/2017,New York,Walter Kerr Theatre,Brilliant Disguise,10
Bruce Springsteen,Springsteen On Broadway,12/13/2017,New York,Walter Kerr Theatre,Long Walk Home,11
Bruce Springsteen,Springsteen On Broadway,12/13/2017,New York,Walter Kerr Theatre,The Rising,12
Bruce Springsteen,Springsteen On Broadway,12/13/2017,New York,Walter Kerr Theatre,Dancing in the Dark,13
Bruce Springsteen,Springsteen On Broadway,12/13/2017,New York,Walter Kerr Theatre,Land of Hope and Dreams,14
Bruce Springsteen,Springsteen On Broadway,12/13/2017,New York,Walter Kerr Theatre,Born to Run,15
Bruce Springsteen,Springsteen On Broadway,12/14/2017,New York,Walter Kerr Theatre,Growin' Up,1
Bruce Springsteen,Springsteen On Broadway,12/14/2017,New York,Walter Kerr Theatre,My Hometown,2
Bruce Springsteen,Springsteen On Broadway,12/14/2017,New York,Walter Kerr Theatre,My Father's House,3
Bruce Springsteen,Springsteen On Broadway,12/14/2017,New York,Walter Kerr Theatre,The Wish,4
Bruce Springsteen,Springsteen On Broadway,12/14/2017,New York,Walter Kerr Theatre,Thunder Road,5
Bruce Springsteen,Springsteen On Broadway,12/14/2017,New York,Walter Kerr Theatre,The Promised Land,6
Bruce Springsteen,Springsteen On Broadway,12/14/2017,New York,Walter Kerr Theatre,Born in the U.S.A.,7
Bruce Springsteen,Springsteen On Broadway,12/14/2017,New York,Walter Kerr Theatre,Tenth Avenue Freeze-Out,8
Bruce Springsteen,Springsteen On Broadway,12/14/2017,New York,Walter Kerr Theatre,Tougher Than the Rest,9
Bruce Springsteen,Springsteen On Broadway,12/14/2017,New York,Walter Kerr Theatre,Brilliant Disguise,10
Bruce Springsteen,Springsteen On Broadway,12/14/2017,New York,Walter Kerr Theatre,Long Walk Home,11
Bruce Springsteen,Springsteen On Broadway,12/14/2017,New York,Walter Kerr Theatre,The Rising,12
Bruce Springsteen,Springsteen On Broadway,12/14/2017,New York,Walter Kerr Theatre,Dancing in the Dark,13
Bruce Springsteen,Springsteen On Broadway,12/14/2017,New York,Walter Kerr Theatre,Land of Hope and Dreams,14
Bruce Springsteen,Springsteen On Broadway,12/14/2017,New York,Walter Kerr Theatre,Born to Run,15
Bruce Springsteen,Springsteen On Broadway,12/15/2017,New York,Walter Kerr Theatre,Growin' Up,1
Bruce Springsteen,Springsteen On Broadway,12/15/2017,New York,Walter Kerr Theatre,My Hometown,2
Bruce Springsteen,Springsteen On Broadway,12/15/2017,New York,Walter Kerr Theatre,My Father's House,3
Bruce Springsteen,Springsteen On Broadway,12/15/2017,New York,Walter Kerr Theatre,The Wish,4
Bruce Springsteen,Springsteen On Broadway,12/15/2017,New York,Walter Kerr Theatre,Thunder Road,5
Bruce Springsteen,Springsteen On Broadway,12/15/2017,New York,Walter Kerr Theatre,The Promised Land,6
Bruce Springsteen,Springsteen On Broadway,12/15/2017,New York,Walter Kerr Theatre,Born in the U.S.A.,7
Bruce Springsteen,Springsteen On Broadway,12/15/2017,New York,Walter Kerr Theatre,Tenth Avenue Freeze-Out,8
Bruce Springsteen,Springsteen On Broadway,12/15/2017,New York,Walter Kerr Theatre,Tougher Than the Rest,9
Bruce Springsteen,Springsteen On Broadway,12/15/2017,New York,Walter Kerr Theatre,Brilliant Disguise,10
Bruce Springsteen,Springsteen On Broadway,12/15/2017,New York,Walter Kerr Theatre,Long Walk Home,11
Bruce Springsteen,Springsteen On Broadway,12/15/2017,New York,Walter Kerr Theatre,The Rising,12
Bruce Springsteen,Springsteen On Broadway,12/15/2017,New York,Walter Kerr Theatre,Dancing in the Dark,13
Bruce Springsteen,Springsteen On Broadway,12/15/2017,New York,Walter Kerr Theatre,Land of Hope and Dreams,14
Bruce Springsteen,Springsteen On Broadway,12/15/2017,New York,Walter Kerr Theatre,Born to Run,15
Bruce Springsteen,Springsteen On Broadway,12/16/2017,New York,Walter Kerr Theatre,Growin' Up,1
Bruce Springsteen,Springsteen On Broadway,12/16/2017,New York,Walter Kerr Theatre,My Hometown,2
Bruce Springsteen,Springsteen On Broadway,12/16/2017,New York,Walter Kerr Theatre,My Father's House,3
Bruce Springsteen,Springsteen On Broadway,12/16/2017,New York,Walter Kerr Theatre,The Wish,4
Bruce Springsteen,Springsteen On Broadway,12/16/2017,New York,Walter Kerr Theatre,Thunder Road,5
Bruce Springsteen,Springsteen On Broadway,12/16/2017,New York,Walter Kerr Theatre,The Promised Land,6
Bruce Springsteen,Springsteen On Broadway,12/16/2017,New York,Walter Kerr Theatre,Born in the U.S.A.,7
